id,key,value,type
3360383,oneway,yes,regular
3360383,highway,motorway_link,regular
4004771,name,New River,regular
4004771,waterway,canal,regular
4109378,natural,coastline,regular
4230643,ref,L 561,regular
4230643,name,Herrenalber Straße,regular
4230643,lanes,3,regular
4230643,oneway,yes,regular
4230643,highway,primary,regular
4230643,maxspeed,60,regular
4230643,lanes,through|through|right,turn
4350498,NHS,yes,regular
4350498,hgv,designated,regular
4350498,ref,CA 22,regular
4350498,name,Garden Grove Freeway,regular
4350498,lanes,4,regular
4350498,oneway,yes,regular
4350498,bicycle,no,regular
4350498,highway,motorway,regular
4350498,national_network,yes,hgv
4350498,hgv:national_network,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,source
4449057,highway,unclassified,regular
4449057,maxspeed,100,regular
4520688,source,PGS,regular
4520688,natural,coastline,regular
4549881,ref,4146,regular
4549881,name,Rudé armády,regular
4549881,source,uhul:ortofoto,regular
4549881,highway,tertiary,regular
4549881,abutters,residential,regular
4549881,maxspeed,50,regular
4549881,ref,rsd_cr,source
4549970,highway,footway,regular
4566173,name,Katzenellenbogen,regular
4566173,highway,living_street,regular
4571148,name,Nedre Hyttvägen,regular
4571148,highway,residential,regular
4571148,maxspeed,30,regular
4571181,name,The Oval,regular
4571181,source,yahoo + gpx,regular
4571181,highway,residential,regular
4571181,created_by,JOSM,regular
4571192,ref,A4119,regular
4571192,name,Llantrisant Road,regular
4571192,highway,primary,regular
4571192,maxspeed,60 mph,regular
4571231,highway,service,regular
4571231,created_by,JOSM,regular
4571294,highway,bridleway,regular
4571323,ref,A2,regular
4571323,name,Quilly Road,regular
4571323,highway,primary,regular
4573667,foot,yes,regular
4573667,highway,cycleway,regular
4581826,name,Theodor-Körner-Straße,regular
4581826,highway,residential,regular
4581826,maxspeed,50,regular
4581826,maxspeed,DE:urban,source
4591336,ref,4498,regular
4591336,bicycle,yes,regular
4591336,highway,tertiary,regular
4591463,name,Holzstraße,regular
4591463,oneway,yes,regular
4591463,highway,residential,regular
4591463,cycleway,opposite,regular
4591463,maxspeed,30,regular
4591463,bicycle,no,oneway
4591476,name,Sandholmen,regular
4591476,place,islet,regular
4593308,name,Willis Way,regular
4593308,highway,unclassified,regular
4598688,natural,water,regular
4603481,bicycle,yes,regular
4603481,highway,footway,regular
4603481,created_by,JOSM,regular
4605902,name,Slåttergatan,regular
4605902,highway,residential,regular
4605902,maxspeed,30,regular
4605923,foot,yes,regular
4605923,bicycle,yes,regular
4605923,highway,cycleway,regular
4642807,foot,no,regular
4642807,is_in,Bratislava - Staré Mesto,regular
4642807,lanes,2,regular
4642807,oneway,yes,regular
4642807,bicycle,no,regular
4642807,highway,secondary_link,regular
4642807,maxspeed,50,regular
4642807,lanes,slight_left|slight_left;slight_right,turn
4689358,barrier,hedge,regular
4689358,created_by,JOSM,regular
4781602,bicycle,yes,regular
4781602,highway,footway,regular
4906033,name,Melba Road,regular
4906033,highway,residential,regular
4906100,name,Corbiehill Gardens,regular
4906100,highway,residential,regular
4906100,maxspeed,30 mph,regular
4906792,oneway,yes,regular
4906792,highway,residential,regular
4912332,ref,D 70,regular
4912332,name,Nouvelle Route,regular
4912332,oneway,yes,regular
4912332,source,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,regular
4912332,highway,secondary,regular
4912332,surface,asphalt,regular
4912332,ref:FR:FANTOIR,691120465U,regular
4914971,name,Rue des Échoppes,regular
4914971,highway,residential,regular
4922651,NHS,yes,regular
4922651,hgv,designated,regular
4922651,ref,CA 55,regular
4922651,name,Costa Mesa Freeway,regular
4922651,lanes,4,regular
4922651,layer,1,regular
4922651,bridge,yes,regular
4922651,oneway,yes,regular
4922651,bicycle,no,regular
4922651,highway,motorway,regular
4922651,old_name,Newport Freeway,regular
4922651,national_network,terminal_access,hgv
4922651,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
4998329,ref,A478,regular
4998329,highway,trunk,regular
5111382,foot,yes,regular
5111382,bicycle,yes,regular
5111382,highway,cycleway,regular
5111382,surface,gravel,regular
5185248,highway,residential,regular
5185248,created_by,JOSM,regular
5185248,cfcc,A41,tiger
5185248,tlid,137633921:137633923:137633627,tiger
5185248,county,"Baker, OR",tiger
5185248,source,tiger_import_dch_v0.6_20070808,tiger
5185248,reviewed,no,tiger
5185248,separated,no,tiger
5185404,highway,track,regular
